Rang;Type de document;Prêts;Titre;Auteur
491;Livre jeunesse;818;Max a la passion du foot [Texte imprimé];Saint Mars, Dominique de
493;Bande dessinée jeunesse;816;Le petit Spirou. 15. Tiens-toi droit !;Tome
675;Bande dessinée ado;693;Gaston. 2 [Texte imprimé];Franquin, André
703;Bande dessinée jeunesse;680;Chi, une vie de chat. 1;Konami, K.
714;Livre sonore jeunesse;675;Le pyjama de Coco [Multimédia multisupport];Du Bouchet, Paule
749;Bande dessinée jeunesse;658;SOS éléphants [Texte imprimé];Pommaux, Yvan
751;Bande dessinée ado;656;Naruto. 20 [Texte imprimé];Kishimoto, Masashi
754;Bande dessinée adulte;654;Asterix en Corse [Texte imprimé];Goscinny, René
757;Bande dessinée ado;652;Je savais que je te rencontrerais [Texte imprimé];Lyfoung, Patricia
761;Bande dessinée jeunesse;650;Attaque à Ithaque [Texte imprimé];Pommaux, Yvan
763;Revue adulte;649;Vibrations [texte imprimé] : le magazine de la world du jazz et du rap;
766;Livre jeunesse;648;Papa pousse [Texte imprimé];Le Saux, Alain
767;Bande dessinée ado;648;Bataille décisive à Alubarna [Texte imprimé];Oda, Eiichiro
768;Livre jeunesse;648;Tous en scène !;Corbeyran, Eric
770;Livre jeunesse;646;Cubes surprises;Yonezu, Yusuke
774;Bande dessinée ado;643;Gaston. 9 [Texte imprimé];Franquin, André
779;Bande dessinée adulte;642;Polina;Vivès, Bastien
780;;642;Les anges de New York;Ellory, Roger Jon
885;Livre jeunesse;599;Maman Quichon se fâche [Texte imprimé];Vaugelade, Anaïs
886;Livre adulte;599;Les revenants;Kasischke, Laura
891;Bande dessinée ado;597;Gaston. 5 [Texte imprimé];Franquin, André
907;Livre jeunesse;593;Paris;Ledu, Stéphanie
919;Bande dessinée ado;588;Utopie [Texte imprimé];Oda, Eiichiro
920;Bande dessinée adulte;587;La serpe d'or [Texte imprimé];Goscinny, René
927;Nouveauté;585;Largo Winch. 17. Mer Noire;
929;Nouveauté;585;La mort s'invite à Pemberley : roman;James, Phyllis Dorothy
940;Bande dessinée jeunesse;582;Boule & Bill : super protecteurs des animaux;Roba
948;Livre jeunesse;579;Le voyage de l'escargot [Texte imprimé];Brown, Ruth
950;Bande dessinée jeunesse;578;La cousine Manga [Texte imprimé];Guibert, Emmanuel
955;Nouveauté;577;Theodore Boone : l'enlèvement;Grisham, John
956;Bande dessinée ado;576;Fruits basket. Volume 1 [Texte imprimé] : une corbeille de fruits;Takaya, Natsuki
959;Bande dessinée ado;575;Naruto. 34 [Texte imprimé];Kishimoto, Masashi
960;Bande dessinée ado;575;Naruto. 28 [Texte imprimé];Kishimoto, Masashi
969;Bande dessinée ado;572;La légende du héros [Texte imprimé];Oda, Eiichiro
974;Bande dessinée ado;571;Naruto. 29 [Texte imprimé];Kishimoto, Masashi
984;Livre jeunesse;566;Je veux des pâtes ! [Texte imprimé];Blake, Stéphanie
992;Bande dessinée jeunesse;562;Emeutes à New York [Texte imprimé];Cauvin, Raoul
994;Bande dessinée jeunesse;562;Le vaccin à réaction [Texte imprimé];Guibert, Emmanuel
501;Bande dessinée jeunesse;808;Boing ! Boing ! Bunk ! [Texte imprimé];Midam
505;Bande dessinée adulte;806;Fairy Tail. 15;Mashima, Hiro
506;;806;L'appel de l'ange : roman;Musso, Guillaume
515;Livre ado;799;Hunger games [Texte imprimé];Collins, Suzanne
517;Bande dessinée jeunesse;797;Moi, gourmand ? [Texte imprimé];Davis, Jim
520;Livre jeunesse;796;L'arbre de Barbapapa [Texte imprimé];Tison, Annette
534;Bande dessinée jeunesse;781;Terrain minets [Texte imprimé];Laudec
536;Bande dessinée jeunesse;778;Max part en classe verte [Texte imprimé];Saint Mars, Dominique de
544;Livre jeunesse;773;L'arche de Barbapapa [Texte imprimé];Tison, Annette
551;Nouveauté;764;Les dix enfants que madame Ming n'a jamais eus [Texte imprimé];Schmitt, Éric-Emmanuel
552;Bande dessinée jeunesse;763;Devine qui vient dîner ce soir ? [Texte imprimé];Davis, Jim
555;Bande dessinée adulte;761;Un amour de lapin [Texte imprimé];Davis, Jim
559;Bande dessinée jeunesse;757;Fauve qui peut !;Kox, Daniel
560;Bande dessinée adulte;757;Fairy Tail. 18;Mashima, Hiro
579;Revue jeunesse;744;Petites mains [texte imprimé] : le magazine d'éveil créatif à partir de 3 ans;
585;Bande dessinée ado;739;Fairy Tail. 7;Mashima, Hiro
612;Bande dessinée jeunesse;721;Traque à Montmartre [Texte imprimé];Pommaux, Yvan
613;Livre jeunesse;721;Ma voiture [Texte imprimé];Barton, Byron
628;Bande dessinée adulte;713;Aya de Yopougon. 3 [Texte imprimé];Abouet, Marguerite
639;Nouveauté;708;Métronome [Texte imprimé] : l'histoire de France au rythme du métro parisien;Deutsch, Lorant
643;Livre jeunesse;705;Petit-Bleu et Petit-Jaune [Texte imprimé] : une histoire pour Pippo, Ann et tous les enfants;Lionni, Leo
644;Revue jeunesse;705;Consoles + [texte imprimé];
650;Bande dessinée jeunesse;703;Sang pour sang [Texte imprimé];Gilson, François
655;Bande dessinée jeunesse;701;Tête à claques [Texte imprimé];Bertschy
681;Livre adulte;690;Les heures souterraines : roman;Vigan, Delphine de
683;Livre jeunesse;688;Barbapapa sur Mars [Texte imprimé];Tison, Annette
690;Bande dessinée jeunesse;685;Comme les doigts de la main;Corbeyran
697;Revue adulte;681;La Maison écologique [texte imprimé] : magazine pratique de l'habitat sain et des énergies renouvelables appliquées;
723;Bande dessinée jeunesse;673;Fais de beaux rêves ! [Texte imprimé];Tome
734;Bande dessinée jeunesse;669;Gare au loup [Texte imprimé] : cinq histoires courtes;Pommaux, Yvan
744;Bande dessinée jeunesse;661;L'homme aux mouettes [Texte imprimé];Pommaux, Yvan
746;Bande dessinée ado;659;Gaston. 1 [Texte imprimé];Franquin, André
792;Bande dessinée jeunesse;638;Bride stories. 1;Mori, Kaoru
794;Livre jeunesse;637;Toc ! Toc ! Qui est là ? [Texte imprimé];Grindley, Sally
795;Bande dessinée jeunesse;636;Les griffes de l'ours [Texte imprimé];Derib
802;Livre jeunesse;632;Où est Charlie ? Le voyage fantastique [Texte imprimé];Handford, Martin
803;Bande dessinée jeunesse;631;OK, let's stand up ! [Texte imprimé];Oda, Eiichiro
807;;630;L'oligarchie des incapables;Coignard, Sophie
811;Nouveauté;628;Crépuscule;Cunningham, Michael
817;Livre jeunesse;625;Le petit déjeuner de la famille Souris [Texte imprimé];Iwamura, Kazuo
821;Livre jeunesse;624;Yakari et Longues-Oreilles [Texte imprimé];Derib
828;Livre jeunesse;618;Bloub bloub bloub [Texte imprimé];Kasano, Yuichi
837;Bande dessinée jeunesse;616;La vengeance du prince Melcar [Texte imprimé];Pommaux, Yvan
838;Revue jeunesse;616;JE LIS DES HISTOIRES VRAIES 2009;
845;Nouveauté;613;Une forme de vie;Nothomb, Amélie
856;Bande dessinée ado;608;Rébellion [Texte imprimé];Oda, Eiichiro
857;Revue adulte;608;Espresso [texte imprimé];
874;Bande dessinée jeunesse;604;Chaud et froid [Texte imprimé];Laudec
878;Bande dessinée jeunesse;602;Le prophète [Texte imprimé];Nordmann, Patrick
906;Bande dessinée jeunesse;593;Tremblez, carcasses [Texte imprimé];Cohen, Jacqueline
910;Revue jeunesse;592;Gu shi hui = ??? [Texte imprimé];
912;Bande dessinée adulte;591;Astérix et la rentrée gauloise [Texte imprimé] : Goscinny et Uderzo;Goscinny, René
914;Nouveauté;591;Avenue des géants;Dugain, Marc
916;Bande dessinée jeunesse;590;Zélie et compagnie [Texte imprimé] : en avant toute !;Corbeyran
922;Livre jeunesse;586;Blaise et le château d'Anne Hiversère [Texte imprimé];Ponti, Claude
6;Revue adulte;14051;Elle [texte imprimé] : l'hebdomadaire de la femme : tous les mercredis;
8;Revue jeunesse;9155;Les Belles histoires [texte imprimé];
17;Revue adulte;6878;L'Express [texte imprimé];
26;Revue adulte;5879;Vocable [texte imprimé] : anglais;
32;Revue adulte;4390;Le Journal de la maison [texte imprimé];
33;Revue adulte;4299;Femme actuelle [texte imprimé];
37;Revue adulte;4174;Capital [texte imprimé] : l'essentiel de l'économie;
40;Revue adulte;4070;La Recherche [texte imprimé];
56;Revue jeunesse;3020;Picsou magazine [texte imprimé];
63;Revue adulte;2743;Art et décoration [texte imprimé] : revue mensuelle d'art moderne...;
64;Revue adulte;2689;Saveurs [texte imprimé];
75;Revue adulte;2488;Marie Claire idées [texte imprimé];
91;Revue adulte;2257;Books [texte imprimé] : l'actualité par les livres du monde;
94;Revue adulte;2209;Pour la science [texte imprimé];
99;Revue jeunesse;2172;Je lis déjà [texte imprimé];
105;Revue jeunesse;2069;Kids' Mania;
106;Revue jeunesse;2064;Picoti [texte imprimé] : pour les bébés poussins : à partir de 9 mois;
113;Revue adulte;1961;Réponses photo [texte imprimé];
119;Revue adulte;1932;Cahiers du cinéma [texte imprimé];
120;Revue ado;1931;Anime land [texte imprimé] : le magazine français de l'animation;
126;Bande dessinée jeunesse;1841;Lili fait sa commandante;Saint-Mars, Dominique de
136;Bande dessinée jeunesse;1766;Abracada...boum ! [Texte imprimé];Cohen, Jacqueline
138;Bande dessinée jeunesse;1765;Poux, papous et pas papous [Texte imprimé];Cohen, Jacqueline
139;Bande dessinée jeunesse;1756;Max et Lili aident les enfants du monde [Texte imprimé];Saint-Mars, Dominique de
140;Bande dessinée jeunesse;1755;Les premiers de la casse [Texte imprimé];Cohen, Jacqueline
158;Livre jeunesse;1641;Max embête les filles [Texte imprimé];Saint-Mars, Dominique de
159;Bande dessinée jeunesse;1634;Lili se trouve moche [Texte imprimé];Saint Mars, Dominique de
165;Revue jeunesse;1599;"Cheval star [texte imprimé] ; [dir. publ. Bernard Chehu]";
167;Bande dessinée jeunesse;1590;Les mabouls déboulent ! [Texte imprimé];Cohen, Jaqueline
175;Bande dessinée jeunesse;1553;Lili veut choisir ses habits [Texte imprimé];Saint Mars, Dominique de
178;Livre jeunesse;1542;Max adore jouer [Texte imprimé];Saint Mars, Dominique de
185;Revue adulte;1522;Parents [texte imprimé];
196;Bande dessinée jeunesse;1486;Max fait pipi au lit [Texte imprimé];Saint-Mars, Dominique de
198;Revue non empruntable;1485;Enfant magazine [texte imprimé];
204;Bande dessinée jeunesse;1462;Lili a été suivie [Texte imprimé];Saint Mars, Dominique de
207;Bande dessinée jeunesse;1458;Frères ennemis [Texte imprimé];Sobral, Patrick
219;Revue adulte;1418;Diapason [texte imprimé] : le magazine de la musique classique;
220;Revue adulte;1417;Vocable [texte imprimé] : allemand;
