Rang;Type de document;Nombre de prêts;Titre ;Auteur
395.0;Bande dessinée jeunesse;886.0;Elle est moche !;Cauvin, Raoul
398.0;Bande dessinée jeunesse;880.0;Miss dix sur dix;Godi, Bernard
399.0;Bande dessinée jeunesse;880.0;Dégâts à gogo !;Cohen, Jacqueline
403.0;Bande dessinée jeunesse;875.0;Carnage total;Midam
410.0;Bande dessinée jeunesse;869.0;Astérix et Latraviata;Uderzo, Albert
412.0;Revue jeunesse;868.0;Disney girl : Prends la vie côté fille !;
439.0;Bande dessinée jeunesse;830.0;Docteur schtroumpf;Parthoens, Luc
468.0;Livre pour adulte;792.0;Kaïken : roman;Grangé, Jean-Christophe
475.0;Revue pour adulte;781.0;"Système D : des réalisations à faire soi-même ;";
497.0;Livre pour adulte;762.0;La faille souterraine : et autres enquêtes;Mankell, Henning
1.0;Revue jeunesse;30747.0;Le Journal de Mickey;
58.0;Revue jeunesse;3061.0;Picsou magazine;
84.0;Revue pour adulte;2349.0;Modes et travaux;
108.0;Revue pour adulte;1895.0;Le Monde des religions;
118.0;Revue pour adulte;1780.0;Archeologia : fouilles et découvertes;
127.0;Bande dessinée jeunesse;1702.0;Lili a un chagrin d'amour;Saint Mars, Dominique de
128.0;Bande dessinée jeunesse;1699.0;Ben ça, alors !;Cohen, Jacqueline
130.0;Bande dessinée jeunesse;1676.0;Max trouve que c'est pas juste;Saint Mars, Dominique de
140.0;Bande dessinée jeunesse;1621.0;Lili fait des cauchemars;Saint-Mars, Dominique de
143.0;Bande dessinée jeunesse;1595.0;Max se fait insulter à la récré;Saint Mars, Dominique de
150.0;Revue pour adulte;1559.0;Vocable : allemand;
156.0;Bande dessinée jeunesse;1533.0;Lili veut faire une boum;Saint Mars, Dominique de
160.0;Bande dessinée jeunesse;1515.0;Idylles;Neel, Julien
164.0;Bande dessinée jeunesse;1511.0;La copine de Lili a une maladie grave;Saint Mars, Dominique de
168.0;Bande dessinée jeunesse;1499.0;Lili se fait toujours gronder;Saint Mars, Dominique de
174.0;Bande dessinée jeunesse;1485.0;Lili se dispute avec son frère;Saint Mars, Dominique de
182.0;Bande dessinée jeunesse;1438.0;Lili ne veut pas se coucher;Saint Mars, Dominique de
185.0;Bande dessinée jeunesse;1431.0;Lili est fâchée avec sa copine;Saint Mars, Dominique de
186.0;Bande dessinée jeunesse;1429.0;Max va à l'hopital;Saint Mars, Dominique de
194.0;Bande dessinée jeunesse;1408.0;Lili veut etre une star;Saint Mars, Dominique de
199.0;Bande dessinée jeunesse;1390.0;Max fait pipi au lit;Saint-Mars, Dominique de
203.0;Bande dessinée jeunesse;1375.0;Lili va chez la psy;Saint-Mars, Dominique de
228.0;Bande dessinée jeunesse;1318.0;Grand-père est mort;Saint Mars, Dominique de
237.0;Bande dessinée jeunesse;1276.0;Le cycle d'Anathos : renaissance;Sobral, Patrick
244.0;Livre jeunesse;1239.0;Le cycle d'Anathos : la marque du destin;Sobral, Patrick
260.0;Bande dessinée jeunesse;1192.0;Tchô, monde cruel;Zep
266.0;Bande dessinée jeunesse;1182.0;Lili est désordre;Saint Mars, Dominique de
271.0;Bande dessinée jeunesse;1155.0;Jérémy est maltraité;Saint Mars, Dominique de
272.0;Revue pour adulte;1151.0;DBD : vous ne lirez plus jamais la bande dessinée comme avant;
273.0;Bande dessinée jeunesse >12 ans;1149.0;Mes meilleurs copains;Zep
286.0;Bande dessinée pour adulte;1111.0;Astérix aux Jeux Olympiques;Goscinny, René
305.0;Livre jeunesse;1040.0;Ca épate les filles...;Zep
309.0;Bande dessinée jeunesse;1031.0;Max veut se faire des amis;Saint-Mars, Dominique de
310.0;Revue jeunesse;1030.0;Abricot;
311.0;Bande dessinée jeunesse;1029.0;L'apprenti schtroumpf;Peyo
327.0;Revue jeunesse;991.0;"30 millions d'amis ;";
334.0;Bande dessinée jeunesse;979.0;Le ciel lui tombe sur la tete;Uderzo, Albert
339.0;Revue pour adulte;975.0;L'Equipe magazine;
347.0;Livre pour adulte;961.0;Barbe bleue : roman;Nothomb, Amélie
442.0;Bande dessinée jeunesse;823.0;Alien Chantilly;Midam
443.0;Bande dessinée jeunesse >12 ans;820.0;Pour qui tu te prends ?;Delaf
446.0;Bande dessinée jeunesse;819.0;La lutte des classes;Godi, Bernard
457.0;Bande dessinée jeunesse;806.0;Le Roi des cancres;Godi, Bernard
459.0;Nouveauté;804.0;Home;Morrison, Toni
461.0;Revue pour adulte;803.0;L'Estampille, L'Objet d'art;
463.0;Revue pour adulte;799.0;Cerveau & psycho : le magazine de la psychologie et des neurosciences;
465.0;Bande dessinée jeunesse;797.0;On se calme !;Cauvin, Raoul
469.0;Bande dessinée jeunesse;791.0;Le dindon de la farce;Davis, Jim
472.0;Bande dessinée jeunesse;786.0;Le cimetière des autobus;Neel, Julien
801.0;Bande dessinée jeunesse >12 ans;587.0;Naruto. 9;Kishimoto, Masashi
804.0;;587.0;Remède mortel;Coben, Harlan
813.0;Bande dessinée jeunesse;583.0;Les quatre saisons;Roba
814.0;Bande dessinée jeunesse >12 ans;582.0;Naruto. 13;Kishimoto, Masashi
816.0;Livre jeunesse;581.0;Lili ne veut plus aller à la piscine;Saint Mars, Dominique de
817.0;Bande dessinée jeunesse;581.0;Les schtroumpfs joueurs;Parthoens, Luc
822.0;Bande dessinée jeunesse;579.0;Platine laser;Sfar, Joann
836.0;Bande dessinée jeunesse;576.0;Les deux terreurs;Cohen, Jacqueline
845.0;;574.0;Les anges de New York;Ellory, Roger Jon
850.0;Bande dessinée jeunesse >12 ans;572.0;Gaston. 9;Franquin, André
855.0;Bande dessinée jeunesse;569.0;Les griffes de l'ours;Derib
856.0;Bande dessinée jeunesse >12 ans;568.0;Gaston. 5;Franquin, André
